Mod:Item:MetaData, Localized Name
TConstruct:GlassPaneClearStained:11, Blue Stained Pane
TConstruct:GlassPaneClearStained:12, Brown Stained Pane
TConstruct:GlassPaneClearStained:13, Green Stained Pane
TConstruct:GlassPaneClearStained:14, Red Stained Pane
TConstruct:GlassPaneClearStained:15, Black Stained Pane
TConstruct:Redstone.Landmine:0, Landmine
TConstruct:Redstone.Landmine:1, Landmine
TConstruct:Redstone.Landmine:2, Landmine
TConstruct:Redstone.Landmine:3, Landmine
TConstruct:Armor.DryingRack, Drying Rack
Metallurgy:machine.frame, Machine Frame
Metallurgy:crusher, Crusher
Metallurgy:alloyer, Alloyer
Metallurgy:forge, Forge
Metallurgy:abstractor, Abstractor
Metallurgy:closet, tile.closet.name
Metallurgy:base.ore:0, Copper Ore
Metallurgy:base.ore:1, Tin Ore
Metallurgy:base.ore:2, Manganese Ore
Metallurgy:base.block:0, Copper Block
Metallurgy:base.block:1, Tin Block
Metallurgy:base.block:2, Manganese Block
Metallurgy:base.block:3, Bronze Block
Metallurgy:base.block:4, Hepatizon Block
Metallurgy:base.block:5, Damascus Steel Block
Metallurgy:base.block:6, Angmallen Block
Metallurgy:base.block:7, Steel Block
Metallurgy:base.brick:0, Copper Brick
Metallurgy:base.brick:1, Tin Brick
Metallurgy:base.brick:2, Manganese Brick
Metallurgy:base.brick:3, Bronze Brick
Metallurgy:base.brick:4, Hepatizon Brick
Metallurgy:base.brick:5, Damascus Steel Brick
Metallurgy:base.brick:6, Angmallen Brick
Metallurgy:base.brick:7, Steel Brick
Metallurgy:copper.molten, Molten Copper
Metallurgy:tin.molten, Molten Tin
Metallurgy:manganese.molten, Molten Manganese
Metallurgy:bronze.molten, Molten Bronze
Metallurgy:hepatizon.molten, Molten Hepatizon
Metallurgy:damascus.steel.molten, Molten Damascus Steel
Metallurgy:angmallen.molten, Molten Angmallen
Metallurgy:steel.molten, Molten Steel
Metallurgy:ender.ore:0, Eximite Ore
Metallurgy:ender.ore:1, Meutoite Ore
Metallurgy:ender.block:0, Eximite Block
Metallurgy:ender.block:1, Meutoite Block
Metallurgy:ender.block:2, Desichalkos Block
Metallurgy:ender.brick:0, Eximite Brick
Metallurgy:ender.brick:1, Meutoite Brick
Metallurgy:ender.brick:2, Desichalkos Brick
Metallurgy:eximite.molten, Molten Eximite
Metallurgy:meutoite.molten, Molten Meutoite
Metallurgy:desichalkos.molten, Molten Desichalkos
Metallurgy:fantasy.ore:0, Prometheum Ore
Metallurgy:fantasy.ore:1, Deep Iron Ore
Metallurgy:fantasy.ore:2, Infuscolium Ore
Metallurgy:fantasy.ore:4, Oureclase Ore
Metallurgy:fantasy.ore:5, Astral Silver Ore
Metallurgy:fantasy.ore:6, Carmot Ore
Metallurgy:fantasy.ore:7, Mithril Ore
Metallurgy:fantasy.ore:8, Rubracium Ore
Metallurgy:fantasy.ore:11, Orichalcum Ore
Metallurgy:fantasy.ore:13, Adamantine Ore
Metallurgy:fantasy.ore:14, Atlarus Ore
Metallurgy:fantasy.block:0, Prometheum Block
Metallurgy:fantasy.block:1, Deep Iron Block
Metallurgy:fantasy.block:2, Infuscolium Block
Metallurgy:fantasy.block:3, Black Steel Block
Metallurgy:fantasy.block:4, Oureclase Block
Metallurgy:fantasy.block:5, Astral Silver Block
Metallurgy:fantasy.block:6, Carmot Block
Metallurgy:fantasy.block:7, Mithril Block
Metallurgy:fantasy.block:8, Rubracium Block
Metallurgy:fantasy.block:9, Quicksilver Block
Metallurgy:fantasy.block:10, Haderoth Block
Metallurgy:fantasy.block:11, Orichalcum Block
Metallurgy:fantasy.block:12, Celenegil Block
Metallurgy:fantasy.block:13, Adamantine Block
Metallurgy:fantasy.block:14, Atlarus Block
Metallurgy:fantasy.block:15, Tartarite Block
Metallurgy:fantasy.brick:0, Prometheum Brick
Metallurgy:fantasy.brick:1, Deep Iron Brick
Metallurgy:fantasy.brick:2, Infuscolium Brick
Metallurgy:fantasy.brick:3, Black Steel Brick
Metallurgy:fantasy.brick:4, Oureclase Brick
Metallurgy:fantasy.brick:5, Astral Silver Brick
Metallurgy:fantasy.brick:6, Carmot Brick
Metallurgy:fantasy.brick:7, Mithril Brick
Metallurgy:fantasy.brick:8, Rubracium Brick
Metallurgy:fantasy.brick:9, Quicksilver Brick
Metallurgy:fantasy.brick:10, Haderoth Brick
Metallurgy:fantasy.brick:11, Orichalcum Brick
Metallurgy:fantasy.brick:12, Celenegil Brick
Metallurgy:fantasy.brick:13, Adamantine Brick
Metallurgy:fantasy.brick:14, Atlarus Brick
Metallurgy:fantasy.brick:15, Tartarite Brick
Metallurgy:prometheum.molten, Molten Prometheum
Metallurgy:deep.iron.molten, Molten Deep Iron
Metallurgy:infuscolium.molten, Molten Infuscolium
Metallurgy:black.steel.molten, Molten Black Steel
Metallurgy:oureclase.molten, Molten Oureclase
Metallurgy:astral.silver.molten, Molten Astral Silver
Metallurgy:carmot.molten, Molten Carmot
Metallurgy:mithril.molten, Molten Mithril
Metallurgy:rubracium.molten, Molten Rubracium
Metallurgy:quicksilver.molten, Molten Quicksilver
Metallurgy:haderoth.molten, Molten Haderoth
Metallurgy:orichalcum.molten, Molten Orichalcum
Metallurgy:celenegil.molten, Molten Celenegil
Metallurgy:adamantine.molten, Molten Adamantine
Metallurgy:atlarus.molten, Molten Atlarus
Metallurgy:tartarite.molten, Molten Tartarite
Metallurgy:nether.ore:0, Ignatius Ore
Metallurgy:nether.ore:1, Shadow Iron Ore
Metallurgy:nether.ore:2, Lemurite Ore
Metallurgy:nether.ore:3, Midasium Ore
Metallurgy:nether.ore:4, Vyroxeres Ore
Metallurgy:nether.ore:5, Ceruclase Ore
Metallurgy:nether.ore:6, Alduorite Ore
Metallurgy:nether.ore:7, Kalendrite Ore
Metallurgy:nether.ore:8, Vulcanite Ore
Metallurgy:nether.ore:9, Sanguinite Ore
Metallurgy:nether.block:0, Ignatius Block
Metallurgy:nether.block:1, Shadow Iron Block
Metallurgy:nether.block:2, Lemurite Block
Metallurgy:nether.block:3, Midasium Block
Metallurgy:nether.block:4, Vyroxeres Block
Metallurgy:nether.block:5, Ceruclase Block
Metallurgy:nether.block:6, Alduorite Block
Metallurgy:nether.block:7, Kalendrite Block
Metallurgy:nether.block:8, Vulcanite Block
Metallurgy:nether.block:9, Sanguinite Block
Metallurgy:nether.block:10, Shadow Steel Block
Metallurgy:nether.block:11, Inolashite Block
Metallurgy:nether.block:12, Amordrine Block
Metallurgy:nether.brick:0, Ignatius Brick
Metallurgy:nether.brick:1, Shadow Iron Brick
Metallurgy:nether.brick:2, Lemurite Brick
Metallurgy:nether.brick:3, Midasium Brick
Metallurgy:nether.brick:4, Vyroxeres Brick
Metallurgy:nether.brick:5, Ceruclase Brick
Metallurgy:nether.brick:6, Alduorite Brick
Metallurgy:nether.brick:7, Kalendrite Brick
Metallurgy:nether.brick:8, Vulcanite Brick
Metallurgy:nether.brick:9, Sanguinite Brick
Metallurgy:nether.brick:10, Shadow Steel Brick
Metallurgy:nether.brick:11, Inolashite Brick
Metallurgy:nether.brick:12, Amordrine Brick
Metallurgy:ignatius.molten, Molten Ignatius
Metallurgy:shadow.iron.molten, Molten Shadow Iron
Metallurgy:lemurite.molten, Molten Lemurite
Metallurgy:midasium.molten, Molten Midasium
Metallurgy:vyroxeres.molten, Molten Vyroxeres
Metallurgy:ceruclase.molten, Molten Ceruclase
Metallurgy:alduorite.molten, Molten Alduorite
Metallurgy:kalendrite.molten, Molten Kalendrite
Metallurgy:vulcanite.molten, Molten Vulcanite
Metallurgy:sanguinite.molten, Molten Sanguinite
Metallurgy:shadow.steel.molten, Molten Shadow Steel
Metallurgy:inolashite.molten, Molten Inolashite
Metallurgy:amordrine.molten, Molten Amordrine
Metallurgy:precious.ore:0, Zinc Ore
Metallurgy:precious.ore:1, Silver Ore
Metallurgy:precious.ore:2, Platinum Ore
Metallurgy:precious.block:0, Zinc Block
Metallurgy:precious.block:1, Silver Block
Metallurgy:precious.block:2, Platinum Block
Metallurgy:precious.block:3, Brass Block
Metallurgy:precious.block:4, Electrum Block
Metallurgy:precious.brick:0, Zinc Brick
Metallurgy:precious.brick:1, Silver Brick
Metallurgy:precious.brick:2, Platinum Brick
Metallurgy:precious.brick:3, Brass Brick
Metallurgy:precious.brick:4, Electrum Brick
Metallurgy:zinc.molten, Molten Zinc
Metallurgy:silver.molten, Molten Silver
Metallurgy:platinum.molten, Molten Platinum
Metallurgy:brass.molten, Molten Brass
Metallurgy:electrum.molten, Molten Electrum
Metallurgy:utility.ore:0, Sulfur Ore
Metallurgy:utility.ore:1, Phosphorite Ore
Metallurgy:utility.ore:2, Saltpeter Ore
Metallurgy:utility.ore:3, Magnesium Ore
Metallurgy:utility.ore:4, Bitumen Ore
Metallurgy:utility.ore:5, Potash Ore
Metallurgy:utility.block:0, Sulfur block
Metallurgy:utility.block:1, Phosphorite Block
Metallurgy:utility.block:2, Saltpeter Block
Metallurgy:utility.block:3, Magnesium Block
Metallurgy:utility.block:4, Bitumen Block
Metallurgy:utility.block:5, Potash Block
Metallurgy:vanilla.brick:0, Gold Brick
Metallurgy:vanilla.brick:1, Iron Brick
Metallurgy:extra.storage.block:0, Block of Charcoal
Metallurgy:explosive:0, High Explosives
Metallurgy:explosive:1, Light Explosives
Metallurgy:explosive:2, Miners Explosives
Metallurgy:explosive:3, Death Explosives
Metallurgy:explosive:4, Precision Explosives
Metallurgy:tab.block:0, tile.metallurgy.tab2.block.name
harvestcraft:cuttingboard, Cutting Board
harvestcraft:pot, Pot
harvestcraft:beehive, Beehive
harvestcraft:apiary, Apiary
harvestcraft:presser, Presser
harvestcraft:sink, tile.sink.name
harvestcraft:salt, Salt Ore
harvestcraft:spamcompressedsaltBlockalt, Compressed Salt Block
harvestcraft:market, Market
harvestcraft:oven, Oven
harvestcraft:ovenon, tile.ovenon.name
harvestcraft:churn, Churn
harvestcraft:churnon, tile.churnon.name
harvestcraft:quern, Quern
harvestcraft:quernon, tile.quernon.name
harvestcraft:fishtrap, Fish Trap
harvestcraft:animaltrap, Animal Trap
harvestcraft:berrygarden, Berry Garden
harvestcraft:desertgarden, Desert Garden
harvestcraft:grassgarden, Grass Garden
harvestcraft:gourdgarden, Gourd Garden
harvestcraft:groundgarden, Ground Garden
harvestcraft:herbgarden, Herb Garden
harvestcraft:leafygarden, Leafy Garden
harvestcraft:mushroomgarden, Mushroom Garden
harvestcraft:stalkgarden, Stalk Garden
harvestcraft:textilegarden, Textile Garden
harvestcraft:tropicalgarden, Tropical Garden
harvestcraft:watergarden, Water Garden
harvestcraft:pamApple, Apple
harvestcraft:pamappleSapling, Apple Sapling
harvestcraft:pamAlmond, Almond
harvestcraft:pamalmondSapling, Almond Sapling
harvestcraft:pamApricot, Apricot
harvestcraft:pamapricotSapling, Apricot Sapling
harvestcraft:pamAvocado, Avocado
harvestcraft:pamavocadoSapling, Avocado Sapling
harvestcraft:pamBanana, Banana
harvestcraft:pambananaSapling, Banana Sapling
harvestcraft:pamCashew, Cashew
harvestcraft:pamcashewSapling, Cashew Sapling
harvestcraft:pamCherry, Cherry
harvestcraft:pamcherrySapling, Cherry Sapling
harvestcraft:pamChestnut, Chestnut
harvestcraft:pamchestnutSapling, Chestnut Sapling
harvestcraft:pamCinnamon, Cinnamon
harvestcraft:pamcinnamonSapling, Cinnamon Sapling
harvestcraft:pamCoconut, Coconut
harvestcraft:pamcoconutSapling, Coconut Sapling
harvestcraft:pamDate, Date
harvestcraft:pamdateSapling, Date Sapling
harvestcraft:pamDragonfruit, Dragonfruit
harvestcraft:pamdragonfruitSapling, Dragonfruit Sapling
harvestcraft:pamDurian, Durian
harvestcraft:pamdurianSapling, Durian Sapling
harvestcraft:pamFig, Fig
harvestcraft:pamfigSapling, Fig Sapling
harvestcraft:pamGrapefruit, Grapefruit
harvestcraft:pamgrapefruitSapling, Grapefruit Sapling
harvestcraft:pamLemon, Lemon
harvestcraft:pamlemonSapling, Lemon Sapling
harvestcraft:pamLime, Lime
harvestcraft:pamlimeSapling, Lime Sapling
harvestcraft:pamMaple, Maple
harvestcraft:pammapleSapling, Maple Sapling
harvestcraft:pamMango, Mango
harvestcraft:pammangoSapling, Mango Sapling
harvestcraft:pamNutmeg, Nutmeg
harvestcraft:pamnutmegSapling, Nutmeg Sapling
harvestcraft:pamOlive, Olive
harvestcraft:pamoliveSapling, Olive Sapling
harvestcraft:pamOrange, Orange
harvestcraft:pamorangeSapling, Orange Sapling
harvestcraft:pamPapaya, Papaya
harvestcraft:pampapayaSapling, Papaya Sapling
harvestcraft:pamPaperbark, Paperbark
harvestcraft:pampaperbarkSapling, Paperbark Sapling
harvestcraft:pamPeach, Peach
harvestcraft:pampeachSapling, Peach Sapling
harvestcraft:pamPear, Pear
harvestcraft:pampearSapling, Pear Sapling
harvestcraft:pamPecan, Pecan
harvestcraft:pampecanSapling, Pecan Sapling
harvestcraft:pamPeppercorn, Peppercorn
harvestcraft:pampeppercornSapling, Peppercorn Sapling
harvestcraft:pamPersimmon, Persimmon
harvestcraft:pampersimmonSapling, Persimmon Sapling
harvestcraft:pamPistachio, Pistachio
harvestcraft:pampistachioSapling, Pistachio Sapling
harvestcraft:pamPlum, Plum
harvestcraft:pamplumSapling, Plum Sapling
harvestcraft:pamPomegranate, Pomegranate
harvestcraft:pampomegranateSapling, Pomegranate Sapling
harvestcraft:pamStarfruit, Starfruit
harvestcraft:pamstarfruitSapling, Starfruit Sapling
harvestcraft:pamVanillabean, Vanilla Bean
harvestcraft:pamvanillabeanSapling, Vanilla Sapling
harvestcraft:pamWalnut, Walnut
harvestcraft:pamwalnutSapling, Walnut Sapling
harvestcraft:pamGooseberry, Goosberry
harvestcraft:pamgooseberrySapling, Gooseberry Sapling
harvestcraft:pamblackberryCrop, Blackberry Crop
harvestcraft:pamblueberryCrop, Blueberry Crop
harvestcraft:pamcandleberryCrop, Candleberry Crop
harvestcraft:pamraspberryCrop, Raspberry Crop
harvestcraft:pamstrawberryCrop, Strawberry Crop
harvestcraft:pamcactusfruitCrop, Cactus Fruit Crop
harvestcraft:pamasparagusCrop, Asparagus Crop
harvestcraft:pambarleyCrop, Barley Crop
harvestcraft:pamoatsCrop, Oats Crop
harvestcraft:pamryeCrop, Rye Crop
harvestcraft:pamcornCrop, Corn Crop
harvestcraft:pambambooshootCrop, Bamboo Crop
harvestcraft:pamcantaloupeCrop, Cantaloupe Crop
harvestcraft:pamcucumberCrop, Cucumber Crop
harvestcraft:pamwintersquashCrop, Winter Squash Crop
harvestcraft:pamzucchiniCrop, Zucchini Crop
harvestcraft:pambeetCrop, Beet Crop
harvestcraft:pamonionCrop, Onion Crop
harvestcraft:pamparsnipCrop, Parsnip Crop
harvestcraft:pampeanutCrop, Peanut Crop
harvestcraft:pamradishCrop, Radish Crop
harvestcraft:pamrutabagaCrop, Rutabaga Crop
harvestcraft:pamsweetpotatoCrop, Sweet Potato Crop
harvestcraft:pamturnipCrop, Turnip Crop
harvestcraft:pamrhubarbCrop, Rhubarb Crop
harvestcraft:pamceleryCrop, Celery Crop
harvestcraft:pamgarlicCrop, Garlic Crop
harvestcraft:pamgingerCrop, Ginger Crop
harvestcraft:pamspiceleafCrop, Spice Leaf Crop
harvestcraft:pamtealeafCrop, Tea Leaf Crop
harvestcraft:pamcoffeebeanCrop, Coffee Bean Crop
harvestcraft:pammustardseedsCrop, Mustard Seeds Crop
harvestcraft:pambroccoliCrop, Broccoli Crop
harvestcraft:pamcauliflowerCrop, Cauliflower Crop
harvestcraft:pamleekCrop, Leek Crop
harvestcraft:pamlettuceCrop, Lettuce Crop
harvestcraft:pamscallionCrop, Scallion Crop
harvestcraft:pamartichokeCrop, Artichoke Crop
harvestcraft:pambrusselsproutCrop, Brussel Sprout Crop
harvestcraft:pamcabbageCrop, Cabbage Crop
harvestcraft:pamspinachCrop, Spinach Crop
harvestcraft:pamwhitemushroomCrop, White Mushroom Crop
harvestcraft:pambeanCrop, Bean Crop
harvestcraft:pamsoybeanCrop, Soybean Crop
harvestcraft:pambellpepperCrop, Bell Pepper Crop
harvestcraft:pamchilipepperCrop, Chili Pepper Crop
harvestcraft:pameggplantCrop, Eggplant Crop
harvestcraft:pamokraCrop, Okra Crop
harvestcraft:pampeasCrop, Peas Crop
harvestcraft:pamtomatoCrop, Tomato Crop
harvestcraft:pamcottonCrop, Cotton Crop
harvestcraft:pampineappleCrop, Pineapple Crop
harvestcraft:pamgrapeCrop, Grape Crop
harvestcraft:pamkiwiCrop, Kiwi Crop
harvestcraft:pamcranberryCrop, Cranberry Crop
harvestcraft:pamriceCrop, Rice Crop
harvestcraft:pamseaweedCrop, Seaweed Crop
harvestcraft:pamcurryleafCrop, Curry Leaf Crop
harvestcraft:pamsesameseedsCrop, Sesame Seeds Crop
harvestcraft:pamwaterchestnutCrop, Water Chestnut Crop
harvestcraft:pamcandleDeco1, White Candle
harvestcraft:pamcandleDeco2, Orange Candle
harvestcraft:pamcandleDeco3, Magenta Candle
harvestcraft:pamcandleDeco4, Light Blue Candle
harvestcraft:pamcandleDeco5, Yellow Candle
harvestcraft:pamcandleDeco6, Lime Candle
harvestcraft:pamcandleDeco7, Pink Candle
harvestcraft:pamcandleDeco8, Dark Grey Candle
harvestcraft:pamcandleDeco9, Light Grey Candle
harvestcraft:pamcandleDeco10, Cyan Candle
harvestcraft:pamcandleDeco11, Purple Candle
harvestcraft:pamcandleDeco12, Blue Candle
harvestcraft:pamcandleDeco13, Brown Candle
harvestcraft:pamcandleDeco14, Green Candle
harvestcraft:pamcandleDeco15, Red Candle
harvestcraft:pamcandleDeco16, Black Candle
harvestcraft:pamcarrotCake, Carrot Cake
harvestcraft:pamcheeseCake, Cheese Cake
harvestcraft:pamcherrycheeseCake, Cherry Cheese Cake
harvestcraft:pampineappleupsidedownCake, Pineapple Upside Down Cake
harvestcraft:pamchocolatesprinkleCake, Chocolate Sprinkles Cake
harvestcraft:pamredvelvetCake, Red Velvet Cake
harvestcraft:pamlamingtonCake, Lamington
harvestcraft:pampavlovaCake, Pavlova
harvestcraft:pamholidayCake, Holiday Cake
harvestcraft:pampumpkincheeseCake, Pumpkin Cheese Cake
TSteelworks:molten.limestone, Molten Limestone
TSteelworks:liquid.cement, Wet Cement
TSteelworks:HighOven:0, High Oven Controller
TSteelworks:HighOven:1, Scorched Drain
TSteelworks:HighOven:2, Scorched Bricks
TSteelworks:HighOven:3, Creepy Scorched Bricks
TSteelworks:HighOven:4, Scorched Stone
TSteelworks:HighOven:5, Scorched Cobblestone
TSteelworks:HighOven:6, Scorched Paver
TSteelworks:HighOven:7, Cracked Scorched Bricks
TSteelworks:HighOven:8, Scorched Road
TSteelworks:HighOven:9, Fancy Scorched Bricks
TSteelworks:HighOven:10, Chiseled Scorched Bricks
TSteelworks:HighOven:12, Scorched Duct
TSteelworks:HighOven:13, Deep Tank Controller
TSteelworks:ScorchedSlab:0, Scorched Bricks Slab
TSteelworks:ScorchedSlab:1, Creepy Scorched Slab
TSteelworks:ScorchedSlab:2, Scorched Stone Slab
TSteelworks:ScorchedSlab:3, Scorched Cobblestone Slab
TSteelworks:ScorchedSlab:4, Scorched Paver Slab
TSteelworks:ScorchedSlab:5, Cracked Scorched Bricks Slab
TSteelworks:ScorchedSlab:6, Scorched Road Slab
TSteelworks:ScorchedSlab:7, Chiseled Scorched Slab
TSteelworks:dustStorage:0, Block of Gunpowder
TSteelworks:dustStorage:1, Sugar Cube
TSteelworks:Limestone:0, Limestone
TSteelworks:Limestone:1, Limestone Cobble
TSteelworks:Limestone:2, Limestone Bricks
TSteelworks:Limestone:3, Cracked Limestone Bricks
TSteelworks:Limestone:4, Limestone Paver
TSteelworks:Limestone:5, Limestone Road
TSteelworks:Limestone:6, Fancy Limestone Bricks
TSteelworks:Limestone:7, Chiseled Limestone Bricks
TSteelworks:Limestone:8, Creepy Limestone Bricks
TSteelworks:LimestoneSlab:0, Limestone Slab
TSteelworks:LimestoneSlab:1, Limestone Cobble Slab
TSteelworks:LimestoneSlab:2, Limestone Bricks Slab
TSteelworks:LimestoneSlab:3, Limestone Paver Slab
TSteelworks:LimestoneSlab:4, Limestone Road Slab
TSteelworks:LimestoneSlab:5, Fancy Limestone Slab
TSteelworks:LimestoneSlab:6, Chiseled Limestone Slab
TSteelworks:LimestoneSlab:7, Creepy Limestone Slab
TSteelworks:Cement:0, White Cement
TSteelworks:Cement:1, Orange Cement
TSteelworks:Cement:2, Magenta Cement
TSteelworks:Cement:3, Light Blue Cement
TSteelworks:Cement:4, Yellow Cement
TSteelworks:Cement:5, Lime Green Cement
TSteelworks:Cement:6, Pink Cement
TSteelworks:Cement:7, Gray Cement
TSteelworks:Cement:8, Light Gray Cement
TSteelworks:Cement:9, Cyan Cement
TSteelworks:Cement:10, Purple Cement
TSteelworks:Cement:11, Blue Cement
TSteelworks:Cement:12, Brown Cement
TSteelworks:Cement:13, Green Cement
TSteelworks:Cement:14, Red Cement
TSteelworks:Cement:15, Black Cement
TSteelworks:tile.Machine.Turbine, Steam Turbine
TSteelworks:blockCharcoal, Block of Charcoal
ExtraTiC:moltenRefinedGlowstone, Molten Refined Glowstone
ExtraTiC:moltenOsmium, Molten Osmium
ExtraTiC:moltenPokefennium, Molten Pokefennium
ExtraTiC:moltenFairy, Molten Fairy
ExtraTiC:moltenRedAurum, Molten RedAurum
ExtraTiC:moltenDesh, Molten Desh
ExtraTiC:moltenDarkSteel, Molten Dark Steel
ExtraTiC:moltenZinc, Molten Zinc
ExtraTiC:moltenBrass, Molten Brass
ExtraTiC:moltenAdamantine., Molten Adamantine
ExtraTiC:moltenConductiveIron, Molten Conductive Iron
ExtraTiC:moltenElectricalSteel, Molten Electrical Steel
ExtraTiC:moltenEnergeticAlloy, Molten Energetic Alloy
ExtraTiC:moltenPhasedGold, Molten Phased Gold
ExtraTiC:moltenPhasedIron, Molten Phased Iron
ExtraTiC:moltenRedstoneAlloy, Molten Redstone Alloy
ExtraTiC:liquidSilicon, Liquid Silicon
ExtraTiC:moltenSoularium, Molten Soularium
ExtraTiC:moltenManasteel, Molten Manasteel
ExtraTiC:moltenTerrasteel, Molten Terrasteel
ExtraTiC:moltenElementium, Molten Elementium
ExtraTiC:moltenVoidmetal, Molten Voidmetal
ExtraTiC:moltenblutonium, Molten Blutonium
ExtraTiC:moltenLudicrite, Molten Ludicrite
ExtraTiC:moltenBedrockium, Molten Bedrockium
ExtraTiC:blockFunStuff:0, Fairy Block
ExtraTiC:blockFunStuff:1, Pokefennium Block
ExtraTiC:blockFunStuff:2, RedAurum Block
Steamcraft:steamcraftOre:0, Copper Ore
Steamcraft:steamcraftOre:1, Zinc Ore
Steamcraft:steamcraftOre:2, Poor Zinc Ore
Steamcraft:blockBrass, Block of Brass
Steamcraft:blockZinc, Block of Zinc
Steamcraft:blockCopper, Block of Copper
Steamcraft:boiler, Boiler
Steamcraft:boilerOn, Boiler
Steamcraft:flashBoiler, Flash Boiler Component
Steamcraft:pipe, Pipe
Steamcraft:valvePipe, Valve Pipe
Steamcraft:steamTank:0, Steam Tank
Steamcraft:steamTank:1, Creative Steam Tank
Steamcraft:meter, Steam Gauge
Steamcraft:ruptureDisc:0, Rupture Disc
Steamcraft:horn, Steam Whistle
Steamcraft:fluidSteamConverter, Pressure Converter
Steamcraft:pump, Archimedes Screw
Steamcraft:smasher, Rock Smasher
Steamcraft:dummy, tile.steamcraft:dummy.name
Steamcraft:heater, Steam Heater
Steamcraft:chargingPad, Filling Pad
Steamcraft:charger, Steam Filler
Steamcraft:hammer, Steam Hammer
Steamcraft:itemMortar, Item Mortar
Steamcraft:thumper, Thumper
Steamcraft:thumperDummy, tile.steamcraft:thumperDummy.name
Steamcraft:fan, Fan
Steamcraft:vacuum, Vacuum
Steamcraft:engineering, Engineering Table
ThaumicTinkerer:bedrockPortal, Bedrock Portal
ThaumicTinkerer:warpGate, Celestial Gateway
ThaumicTinkerer:interface, Transvector Interface
ThaumicTinkerer:fireOrder, Ordo Imbued Fire
ThaumicTinkerer:nitorGas, tile.nitorGas.name
ThaumicTinkerer:forcefield, Forcefield
ThaumicTinkerer:Levitational Locomotive, Levitational Locomotive
ThaumicTinkerer:fireWater, Aqua Imbued Fire
ThaumicTinkerer:infusedGrainBlock, tile.infusedGrainBlock.name
ThaumicTinkerer:animationTablet, Dynamism Tablet
ThaumicTinkerer:enchanter, Osmotic Enchanter
ThaumicTinkerer:platform, Ethereal Platform
ThaumicTinkerer:Levitational Locomotive Relay, Levitational Locomotive Relay
ThaumicTinkerer:fireChaos, Perditio Imbued Fire
ThaumicTinkerer:dislocator, Transvector Dislocator
ThaumicTinkerer:darkQuartz:0, Block of Smokey Quartz
ThaumicTinkerer:darkQuartz:1, Chiseled Smokey Quartz Block
ThaumicTinkerer:darkQuartz:2, Pillar Smokey Quartz Block
ThaumicTinkerer:darkQuartzSlab:0, Smokey Quartz Slab
ThaumicTinkerer:darkQuartzSlabFull:0, Smokey Quartz Slab
ThaumicTinkerer:fireAir, Aer Imbued Fire
ThaumicTinkerer:fireEarth, Terra Imbued Fire
ThaumicTinkerer:infusedFarmland, tile.infusedFarmland.name
ThaumicTinkerer:repairer, Thaumic Restorer
ThaumicTinkerer:magnet:0, Kinetic Attractor
ThaumicTinkerer:magnet:1, Corporeal Attractor
ThaumicTinkerer:spawner, Tablet of Necromancy
ThaumicTinkerer:fireFire, Ignis Imbued Fire
ThaumicTinkerer:darkQuartzStairs, Smokey Quartz Stairs
ThaumicTinkerer:gaseousLight, tile.gaseousLight.name
ThaumicTinkerer:gaseousShadow, tile.gaseousShadow.name
ThaumicTinkerer:funnel, Essentia Funnel
ForbiddenMagic:ArcaneCake, Thaumic Cake
ForbiddenMagic:WrathCage, Wrath Cage
ForbiddenMagic:InkFlower, Umbral Rose
ForbiddenMagic:StarBlock, Nether Star Block
ForbiddenMagic:UmbralBush, Umbral Rose Bush
ForbiddenMagic:TaintLog, Tainted Log
ForbiddenMagic:TaintPlank, Tainted Planks
ForbiddenMagic:TaintLeaves, Tainted Leaves
ForbiddenMagic:TaintSapling, Tainted Sapling
ForbiddenMagic:TaintBlock:0, Tainted Stone
ForbiddenMagic:TaintBlock:1, Tainted Stone Bricks
funkylocomotion:frame:0, Frame Block
funkylocomotion:frame2:0, Frame Block (W)
funkylocomotion:frame3:0, Frame Block (E)
funkylocomotion:frame4:0, Frame Block (WE)
funkylocomotion:moving, tile.funkylocomotion:moving.name
funkylocomotion:pusher:0, Frame Pusher
funkylocomotion:pusher:6, Frame Puller
funkylocomotion:slider, Frame Slider
funkylocomotion:booster, Frame Booster
GalacticraftCore:tile.crudeOilStill, Crude Oil
GalacticraftCore:tile.fuel, Gasoline
GalacticraftCore:tile.landingPad:0, Rocket Launch Pad
GalacticraftCore:tile.landingPad:1, Buggy Fueling Pad
GalacticraftCore:tile.landingPadFull, Rocket Launch Pad
GalacticraftCore:tile.unlitTorch, Torch
GalacticraftCore:tile.unlitTorchLit, Torch
GalacticraftCore:tile.breatheableAir, tile.breatheableAir.name
GalacticraftCore:tile.brightAir, tile.brightAir.name
GalacticraftCore:tile.brightBreathableAir, tile.brightBreathableAir.name
GalacticraftCore:tile.oxygenCollector, Oxygen Collector
GalacticraftCore:tile.oxygenCompressor:0, Oxygen Compressor
GalacticraftCore:tile.oxygenCompressor:4, Oxygen Decompressor
GalacticraftCore:tile.distributor, Oxygen Bubble Distributor
GalacticraftCore:tile.sealer, Oxygen Sealer
GalacticraftCore:tile.oxygenDetector, Oxygen Detector
GalacticraftCore:tile.oxygenPipe, Oxygen Pipe
GalacticraftCore:tile.refinery, Refinery
GalacticraftCore:tile.fuelLoader, Fuel Loader
GalacticraftCore:tile.cargo:0, Cargo Loader
GalacticraftCore:tile.cargo:4, Cargo Unloader
